GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minimarket,com.minimarket.security.validation,StrongPasswordValidator,2,75,5,19,1,18,5,9,0,2
minimarket,com.minimarket.security.response,SecurityErrorResponseWriter,0,42,0,0,0,13,0,5,0,5
minimarket,com.minimarket.controller,CarritoController,54,7,6,0,13,2,7,2,4,2
minimarket,com.minimarket.controller,DetalleVentaController,58,3,6,0,14,1,8,1,5,1
minimarket,com.minimarket.controller,UsuarioController,48,7,2,0,11,2,7,2,6,2
minimarket,com.minimarket.controller,ProductoController,54,7,6,0,13,2,7,2,4,2
minimarket,com.minimarket.controller,HolaMundoController,0,5,0,0,0,2,0,2,0,2
minimarket,com.minimarket.controller,AuthController,0,89,0,0,0,24,0,3,0,3
minimarket,com.minimarket.controller,VentaController,18,7,2,0,3,2,3,2,2,2
minimarket,com.minimarket.controller,CategoriaController,54,7,6,0,13,2,7,2,4,2
minimarket,com.minimarket.controller,InventarioController,34,27,4,2,7,8,5,4,2,4
minimarket,com.minimarket.entity,Producto,0,38,0,0,0,16,0,11,0,11
minimarket,com.minimarket.entity,Venta,14,33,0,4,6,12,4,8,4,6
minimarket,com.minimarket.entity,Usuario,0,31,0,0,0,13,0,9,0,9
minimarket,com.minimarket.entity,Categoria,7,17,0,0,3,7,2,5,2,5
minimarket,com.minimarket.entity,Inventario,6,32,0,0,2,14,2,9,2,9
minimarket,com.minimarket.entity,Rol,10,14,0,0,4,6,3,4,3,4
minimarket,com.minimarket.entity,DetalleVenta,17,30,0,0,7,10,5,7,5,7
minimarket,com.minimarket.entity,Carrito,3,28,0,0,1,12,1,8,1,8
minimarket,com.minimarket.config,ClockConfig,0,5,0,0,0,2,0,2,0,2
minimarket,com.minimarket.exception,GlobalExceptionHandler,24,92,0,0,6,21,2,9,2,9
minimarket,com.minimarket.exception,InvalidRequestException,7,10,0,0,3,4,1,2,1,2
minimarket,com.minimarket.security.service,LoginAttemptService.AttemptState,7,54,4,6,0,10,3,7,0,5
minimarket,com.minimarket.security.service,LoginAttemptService,5,90,1,9,1,22,1,9,0,5
minimarket,com.minimarket.security.service,CustomUserDetailsService,0,23,0,0,0,4,0,3,0,3
minimarket,com.minimarket.security.service,JwtTokenService,6,102,1,3,2,27,1,8,0,7
minimarket,com.minimarket.service.impl,VentaServiceImpl,0,152,1,15,0,34,1,15,0,8
minimarket,com.minimarket.service.impl,CarritoServiceImpl,14,75,3,7,2,14,5,8,2,6
minimarket,com.minimarket.service.impl,UsuarioServiceImpl,112,174,22,14,19,36,22,12,7,9
minimarket,com.minimarket.service.impl,DetalleVentaServiceImpl,28,3,0,0,6,1,5,1,5,1
minimarket,com.minimarket.service.impl,CategoriaServiceImpl,19,7,0,0,4,2,3,2,3,2
minimarket,com.minimarket.service.impl,ProductoServiceImpl,0,71,0,4,0,15,0,10,0,8
minimarket,com.minimarket.service.impl,RolServiceImpl,5,3,0,0,1,1,1,1,1,1
minimarket,com.minimarket.service.impl,InventarioServiceImpl,0,82,3,9,0,14,3,10,0,7
minimarket,com.minimarket.security.exception,InvalidJwtException,0,13,0,0,0,5,0,3,0,3
minimarket,com.minimarket.security.exception,AccountLockedException,0,6,0,0,0,3,0,2,0,2
minimarket,com.minimarket.security.exception,JwtFailureReason,0,27,0,0,0,5,0,1,0,1
minimarket,com.minimarket.security.audit,SecurityAuditHandler,1,65,1,1,0,16,1,4,0,4
minimarket,com.minimarket.dto,UsuarioRequestDto,0,24,0,0,0,10,0,7,0,7
minimarket,com.minimarket.dto,UsuarioResponseDto,15,21,0,0,8,8,4,4,4,4
minimarket,com.minimarket.security.model,RegistroRequest,0,17,0,0,0,7,0,5,0,5
minimarket,com.minimarket.security.model,AuthResponse,4,9,0,0,2,4,1,2,1,2
minimarket,com.minimarket.security.model,JwtClaims,5,24,2,2,1,6,3,3,1,3
minimarket,com.minimarket.security.model,LoginRequest,0,17,0,0,0,7,0,5,0,5
minimarket,com.minimarket.security.model,CustomUserDetails,0,39,0,0,0,12,0,9,0,9
minimarket,com.minimarket.security.config,LoginRateLimitConfig,0,11,0,0,0,2,0,2,0,2
minimarket,com.minimarket.security.config,LoginRateLimitFilter,10,117,3,11,1,29,2,12,0,7
minimarket,com.minimarket.security.config,ClientRequestTimestamps,5,29,1,3,1,7,1,5,0,4
minimarket,com.minimarket.security.config,SecurityConfig,0,344,0,0,0,36,0,13,0,13
minimarket,com.minimarket.security.filter,JwtRequestFilter,11,126,4,6,5,32,4,6,0,5
